trip,start_lat,start_lon,end_lat,end_lon
1,42.28935602820563,-90.00897492881309,42.296859361447844,-90.00921440349815
2,42.296859361447844,-90.00921440349815,42.285663470147284,-90.0114652025111
3,42.285663470147284,-90.0114652025111,42.29114786076366,-90.0089723722078
4,42.29114786076366,-90.0089723722078,42.28939004902585,-90.009972131542
5,42.28939004902585,-90.009972131542,42.30397709075136,-90.00944704919044
6,42.30397709075136,-90.00944704919044,42.31720278655602,-90.04111229195142
7,42.31720278655602,-90.04111229195142,42.296859361447844,-90.00921440349815
8,42.296859361447844,-90.00921440349815,42.28620752527861,-90.00885493994227
9,42.28620752527861,-90.00885493994227,42.35653815160165,-89.95788672081397
10,42.35653815160165,-89.95788672081397,42.34383629594209,-90.02068545040018
11,42.34383629594209,-90.02068545040018,42.34383629594209,-90.02068545040018
12,42.34383629594209,-90.02068545040018,42.34383629594209,-90.02068545040018
13,42.34383629594209,-90.02068545040018,42.32776578601784,-89.98674082333557
